bad_options,mauvaises_préfs,bad_jp,good_options,bonnes_préfs,good_jp,open_ended,ouvertes,open_jp,keanu_trivia
jump into a live volcano,sauter dans un volcan actif,生きた火山に飛び込む,be able to swim like a fish,être capable de nager comme un poisson,魚のように泳げる,What's your favorite breakfast food?,Quel est votre plat de petit-déjeuner préféré ?,あなたの好きな朝食は何ですか？,"Despite—or perhaps because of—his multicultural background, Keanu Reeves has never become an American citizen."
jump into a whale's mouth,sauter dans la gueule d'une baleine,クジラの口に飛び込む,be able to fly like a bird,être capable de voler comme un oiseau,鳥のように飛べる,What's your favorite lunch food?,Quel est votre plat de déjeuner préféré ?,あなたの好きな昼食は何ですか？,Hockey kept Keanu busy as a kid.
get stuck in an elevator with your ex,être coincé dans un ascenseur avec votre ex,元カレ・元カノとエレベーターに閉じ込められる,become a master of martial arts,devenir un maître des arts martiaux,武道の達人になる,What's your favorite dinner food?,Quel est votre plat de dîner préféré ?,あなたの好きな夕食は何ですか？,"When Keanu was a kid, Alice Cooper used to hang out at his house."
get bird poo on your head,recevoir des crottes d'oiseau sur la tête,頭に鳥の糞が落ちる,stop aging,arrêter de vieillir,老化を止める,What's your favorite snack?,Quel est votre en-cas préféré ?,あなたの好きなおやつは何ですか？,One of Reeves’s earliest roles was in a Coca-Cola commercial.
forget your most cherished memories,oublier vos souvenirs les plus chers,最も大切な思い出を忘れる,have super strength,avoir une force surhumaine,超人的な力を持つ,What's your favorite cereal?,Quel est votre céréale préférée ?,あなたの好きなシリアルは何ですか？,Keanu almost renamed himself “Chuck Spadina.”
live in a soap opera,vivre dans un feuilleton,昼ドラの中で暮らす,move things with your mind,déplacer des objets par la pensée,物を心で動かす,What's your favorite color?,Quelle est votre couleur préférée ?,あなたの好きな色は何ですか？,Reeves has a deep love of motorcycles.
live in a scary movie,vivre dans un film d'horreur,ホラー映画の中で暮らす,be fluent in every language,être fluent dans toutes les langues,すべての言語を流暢に話せる,What's your favorite book?,Quel est votre livre préféré ?,あなたの好きな本は何ですか？,Keanu has an extensive history of motorcycle-related injuries.
smell like a rotten onion,sentir comme un oignon pourri,腐った玉ねぎの匂いがする,know how to play every musical instrument,savoir jouer de tous les instruments de musique,すべての楽器を演奏できる,What's your favorite movie?,Quel est votre film préféré ?,あなたの好きな映画は何ですか？,"In addition to his performances in River’s Edge, Dangerous Liaisons, and Parenthood, Keanu Reeves moonlighted in a music video."
get caught in the rain without an umbrella,être pris sous la pluie sans parapluie,傘なしで雨に降られる,travel to the past,voyager dans le passé,過去に旅行する,What's your favorite TV series?,Quelle est votre série télévisée préférée ?,あなたの好きなテレビシリーズは何ですか？,Keanu Reeves has been willing to defer his salary to get other actors in his movies.
be incurably annoying,être incurablement irritant,治らないほどイライラする,travel to the future,voyager dans le futur,未来に旅行する,What's your favorite pizza topping?,Quelle est votre garniture de pizza préférée ?,あなたの好きなピザのトッピングは何ですか？,Keanu Reeves’s commercial success has resulted in him subsidizing more than just a few high-profile casting choices.
be hopelessly boring,être désespérément ennuyeux,どうしようもなく退屈になる,be a hero,être un héros,ヒーローになる,What's your favorite sport?,Quel est votre sport préféré ?,あなたの好きなスポーツは何ですか？,Keanu Reeves’s close friendship with River Phoenix led to them co-starring in My Own Privavous Idaho.
be covered in centipedes,être couvert de mille-pattes,ムカデに覆われる,be an inspiration,être une source d'inspiration,インスピレーションになる,What's your favorite music?,Quelle est votre musique préférée ?,あなたの好きな音楽は何ですか？,Keanu Reeves has been injured or sidelined by illness multiple times during shooting.
be covered in spiders,être couvert d'araignées,クモに覆われる,be able to speak to animals,être capable de parler aux animaux,動物と話せる,What's your favorite vacation spot?,Quel est votre lieu de vacances préféré ?,あなたの好きなバケーションスポットはどこですか？,Keanu Reeves says turning down Speed 2 got him blacklisted from Fox for 10 years.
be freezing,avoir froid,凍える,be the world's fastest human,être l'être humain le plus rapide du monde,世界で最も速い人間になる,What's your favorite pastime?,Quel est votre passe-temps préféré ?,あなたの好きな趣味は何ですか？,Keanu Reeves only became a part of Keanu at the last minute.
be sweltering,avoir chaud,蒸し暑くなる,vacation on a beach,passer des vacances sur une plage,ビーチで休暇を過ごす,What's your favorite pastry?,Quelle est votre pâtisserie préférée ?,あなたの好きなペストリーは何ですか？,It’s possible that Keanu Reeves accidentally married Winona Ryder.
look like a giant thumb,ressembler à un pouce géant,巨大な親指のように見える,vacation in the mountains,passer des vacances à la montagne,山で休暇を過ごす,What's your favorite dessert?,Quel est votre dessert préféré ?,あなたの好きなデザートは何ですか？,"Without Keanu Reeves, Weezer might not exist."
be taken for granted,être pris pour acquis,当たり前に思われる,discover a new life form on earth,découvrir une nouvelle forme de vie sur terre,地球上で新しい生命体を発見する,Who's your favorite person in your life?,Qui est la personne que vous préférez dans votre vie ?,あなたの人生で一番好きな人は誰ですか？,Keanu Reeves has been booed offstage.
get locked out of your house,être enfermé hors de votre maison,家の外に閉め出される,discover an alien life form,découvrir une forme de vie extraterrestre,エイリアンの生命体を発見する,What's your dream vacation?,Quel est votre rêve de vacances ?,あなたの夢のバケーションは何ですか？,Keanu Reeves was tricked into appearing in The Watcher.
get locked into a walk-in freezer,être enfermé dans un congélateur-chambre,冷凍庫に閉じ込められる,be a celebrity,être une célébrité,有名人になる,What's your favorite subject in school?,Quelle est votre matière préférée à l'école ?,あなたの好きな学校の科目は何ですか？,Keanu Reeves supports several charitable causes.
be adrift in a dinghy with a ferocious tiger,être à la dérive dans un canot avec un tigre féroce,凶暴なトラと一緒に小舟で漂流する,be a billionaire,être milliardaire,億万長者になる,What's the funniest show of all time?,Quelle est la comédie la plus drôle de tous les temps ?,史上最も面白い番組は何ですか？,Keanu Reeves has a recurring role on a tv show you've probably never heard of.
fight an angry bear,combattre un ours en colère,怒ったクマと戦う,find $20 on the street,trouver 20 dollars dans la rue,道で20ドルを見つける,What's the funniest movie?,Quel est le film le plus drôle ?,史上最も面白い映画は何ですか？,Keanu Reeves has published books of his own poetry.
fight an angry bull,combattre un taureau en colère,怒った牛と戦う,win an Olympic gold medal,gagner une médaille d'or aux jeux olympiques,オリンピックの金メダルを獲得する,Describe your dream job.,Décrivez votre emploi de rêve.,あなたの夢の仕事を説明してください。,Keanu Reeves has always actively participated in the physical preparation required for his roles.
step on Legos,marcher sur des Legos,レゴの上に踏む,win a Nobel Prize,gagner un prix nobel,ノーベル賞を受賞する,What's your dream company?,Quelle est votre entreprise de rêve ?,あなたの夢の会社は何ですか？,Keanu Reeves’s passion for—and recognition of—other storytellers’ passion—has led to many of his iconic roles.
become a cautionary tale,devenir un récit édifiant,警告の教訓になる,become President of the United States,devenir président des états-unis,アメリカ合衆国の大統領になる,What movie should be turned into a musical?,Quel film devrait être adapté en comédie musicale ?,どの映画をミュージカルにすべきですか？,The John Wick franchise might not exist without The Matrix.
become an urban legend,devenir une légende urbaine,都市伝説になる,play in a pen full of pandas,jouer dans un enclos plein de pandas,パンダのいる囲いで遊ぶ,What book should be turned into a movie?,Quel livre devrait être adapté en film ?,どの本を映画にすべきですか？,"Without John Wick, there might not have been a Bill & Ted Face the Music."
fight a swarm of murder hornets,combattre un essaim de frelons meurtriers,殺人バチの群れと戦う,get mobbed by a stampede of playful puppies,être assailli par une ruée de chiots joueurs,遊び好きな子犬の群れに押し寄せられる,Are you a cat or dog person?,Êtes-vous plutôt chat ou chien ?,あなたは猫派ですか、それとも犬派ですか？,"Keanu Reeves is fluent in English, French, German, and Italian."
fight a swarm of black widow spiders,combattre un essaim d'araignées veuves noires,ブラックウィドウのクモの群れと戦う,be thrown into a pit full of cuddly kittens,être jeté dans un fossé plein de chatons câlins,かわいい子猫の穴に投げ込まれる,Tea or coffee?,Thé ou café ?,お茶とコーヒー、どちらが好きですか？,"Keanu Reeves is a Canadian citizen but born in Lebanon. He has English, Chinese, Irish, Native Hawaiian, and Portuguese ancestry. "
receive a thousand paper cuts,recevoir mille coupures de papier,千の紙切れで切られる,be the world's greatest boss,être le meilleur patron du monde,世界で最高の上司になる,Which actor would play you in a movie about your life?,Quel acteur jouerait votre rôle dans un film sur votre vie ?,あなたの人生についての映画で、どの俳優があなたを演じますか？,Keanu Reeves performs all his own stunts.
fall victim to a scam,être victime d’une arnaque,詐欺に遭う,be the world's greatest parent,être le meilleur parent du monde,世界で最高の親になる,What's your spirit animal?,Quel est votre animal totem ?,あなたのスピリットアニマルは何ですか？,Keanu Reeves has a black belt in martial arts.
have the world's worst coworkers,avoir les pires collègues du monde,世界で最悪の同僚を持つ,be the world's greatest teacher,être le meilleur enseignant du monde,世界で最高の教師になる,How many languages can you speak?,Combien de langues parlez-vous ?,何カ国語話せますか？,Keanu Reeves turned down the role of Marvel’s Captain Marvel.
have the world's worst boss,avoir le pire patron du monde,世界で最悪の上司を持つ,be the world's greatest coworker,être le meilleur collègue du monde,世界で最高の同僚になる,Pineapple on pizza: yum or yuck?,Ananas sur la pizza : miam ou beurk ?,ピザの上のパイナップル：おいしい、それともまずい？,He is an avid reader.
jam your finger in a door,vous coincer le doigt dans une porte,ドアに指を挟む,live forever,vivre éternellement,永遠に生きる,"Do you tip based on the subtotal, or the total after tax?",Donnez-vous un pourboire sur le sous-total ou sur le total après taxes ?,小計に基づいてチップを渡しますか、それとも税金後の合計に基づいて渡しますか？,Keanu Reeves is a vegetarian.
stub your toe,vous cogner l’orteil,足の指をぶつける,come up with lucrative ideas,trouver des idées lucratives,儲かるアイデアを考え出す,Share your best recipe.,Partagez votre meilleure recette.,あなたの最高のレシピを教えてください。,Keanu co-founded a production company called Company Films.
get stranded in the middle of the ocean,être échoué au milieu de l'océan,海の真ん中で立ち往生する,have a razor sharp wit,avoir un esprit acéré,鋭い機知を持つ,Winter or Summer Olympics?,Jeux Olympiques d'hiver ou d'été ?,冬季オリンピックと夏季オリンピック、どちらが好きですか？,Keanu Reeves has directed a film.
have your phone battery die,que la batterie de votre téléphone meure,携帯電話のバッテリーが切れる,be a trendsetter,être un créateur de tendances,トレンドセッターになる,What unusual thing do you keep on your desk?,Quelle chose inhabituelle gardez-vous sur votre bureau ?,あなたのデスクの上に置いている変わったものは何ですか？,He starred in a successful theater production of “Hamlet.”
get attacked by a T-Rex,être attaqué par un T-Rex,ティラノサウルスに襲われる,have tremendous courage,avoir un courage immense,並外れた勇気を持つ,What's one routine you do just for yourself every day?,Quelle est une routine que vous faites juste pour vous chaque jour ?,毎日自分のためだけにするルーチンは何ですか？,Reeves has appeared in music videos.
be eaten by a megalodon,être mangé par un mégalodon,メガロドンに食べられる,be a trailblazer,être un pionnier,先駆者になる,"Do you put on one sock then the shoe, or both socks then both shoes?","Mettez-vous une chaussette puis une chaussure, ou les deux chaussettes puis les deux chaussures ?",片方の靴下を先に履いてから靴を履きますか、それとも両方の靴下を先に履いてから両方の靴を履きますか？,Keanu has a passion for photography.
